InputFile,Vertices,Edges,Alpha,Greedy  Search Value,Average Random  Search Value,Average Semi_Greedy  Search Value,Average Local Iteration Count,Average Local  Search Value,Grasp Iteration Count,Best Grasp Value,Best Known Upper Bound
,,,,,2331,2905,150,,500,2974,
,,,,,2332,,,,1000,2973,
,,,0.3,,,2910,146,2926,20,2965,
,,,,,2328,2914,147,,50,2967,
,,,,,2330,2912,149,,100,2976,
,,,,,2334,2913,,2927,500,2973,
,,,,,2333,,,,1000,2980,
,,,0.4,,2323,2912,146,,20,2965,
,,,,,2326,2918,147,,50,2975,
,,,,,2332,2915,149,2928,100,2979,
,,,,,2330,,,2927,500,2976,
,,,,,2334,,148,,1000,2979,
,,,0.5,,2341,2917,142,,20,2965,
,,,,,2330,2915,147,2926,50,2967,
,,,,,2332,2916,148,2927,100,2970,
,,,,,2334,,,,500,2975,
,,,,,2331,2917,,2928,1000,2982,
,,,0.6,,2339,2913,141,2923,20,2965,
,,,,,2333,2921,149,2931,50,2975,
,,,,,2335,2918,147,2927,100,2976,
,,,,,2334,2919,148,2928,500,,
,,,,,2336,,147,,1000,2982,
,,,0.7,,2329,,144,2926,20,2965,
,,,,,2340,2921,,2927,50,2981,
,,,,,2335,2923,147,2930,100,2979,
,,,,,2331,2921,,2928,500,2973,
,,,,,2333,2922,,2929,1000,2982,
,,,0.8,,2326,2925,144,2927,20,2974,
,,,,,2339,2924,145,2930,50,2979,
,,,,,2336,2925,,2928,100,2977,
,,,,,2332,2924,146,2929,500,2981,
,,,,,,,,,1000,2982,
,,,0.9,,2335,2923,,2931,20,2974,
,,,,,2328,,144,2928,50,2973,
,,,,,2331,2924,145,2929,100,2974,
,,,,,2333,,146,,500,2980,
,,,,,,2923,,,1000,2981,
,,,1,,2321,2924,142,2927,20,2971,
,,,,,2324,2925,146,2928,50,2980,
,,,,,2331,2924,147,2929,100,2970,
,,,,,2334,2925,146,,500,2980,
,,,,,2332,2924,,,1000,,
G18,0,749,37,700,196,834,20,877,,,
,,,34,699,198,828,50,889,,,
,,,32,,199,830,100,879,,,
,,,33,705,201,832,500,894,,,
,,,30,702,,,1000,893,,,
,0.1,,32,701,200,835,20,888,,,
,,,29,704,201,831,50,,,,
,,,34,706,,832,100,904,,,
,,,30,703,200,830,500,889,,,
,,,31,704,,831,1000,893,,,
,0.2,,49,709,194,833,20,872,,,
,,,23,705,198,830,50,881,,,
,,,29,703,199,831,100,874,,,
,,,33,704,200,,500,892,,,
,,,32,703,,830,1000,901,,,
,0.3,,,718,198,839,20,877,,,
,,,,701,200,829,50,880,,,
,,,30,704,,830,100,896,,,
,,,35,,,832,500,899,,,
,,,31,,,831,1000,893,,,
,0.4,,21,711,199,,20,879,,,
,,,35,717,200,835,50,888,,,
,,,28,713,198,,100,898,,,
,,,35,,,833,500,887,,,
,,,33,,199,,1000,908,,,
,0.5,,42,737,188,837,20,899,,,
,,,31,731,192,835,50,882,,,
,,,30,737,195,839,100,883,,,
,,,,731,197,836,500,913,,,
,,,32,732,196,,1000,909,,,
,0.6,,41,765,184,843,20,886,,,
,,,31,777,189,849,50,901,,,
,,,24,769,192,843,100,903,,,
,,,33,772,190,845,500,921,,,
,,,30,768,,843,1000,917,,,
,0.7,,35,790,182,847,20,894,,,
,,,32,798,184,851,50,910,,,
,,,30,800,181,848,100,903,,,
,,,,799,185,849,500,915,,,
,,,32,,,,1000,,,,
,0.8,,36,819,176,848,20,919,,,
,,,31,,177,851,50,915,,,
,,,33,823,180,854,100,922,,,
,,,29,821,182,855,500,923,,,
,,,34,820,181,854,1000,931,,,
,0.9,,30,843,171,856,20,924,,,
,,,41,841,176,861,50,929,,,
,,,26,836,179,854,100,922,,,
,,,33,,,857,500,934,,,
,,,32,837,178,,1000,933,,,
,1,,43,835,174,856,20,912,,,
,,,33,839,176,857,50,931,,,
,,,29,838,177,,100,912,,,
,,,32,839,178,858,500,932,,,
,,,31,840,,857,1000,938,,,
G2,800,19176,0,11233,9601,11025,383,11364,20,11450,12084
,,,,,9581,11029,392,11371,50,11477,
,,,,,9594,11018,389,11366,100,11478,
,,,,,9586,11026,390,11370,500,11504,
,,,,,9589,11023,391,11368,1000,11497,
,,,0.1,,9592,11035,388,11378,20,11461,
,,,,,9597,11031,385,11368,50,11476,
,,,,,9594,11023,391,11371,100,11478,
,,,,,9588,11028,390,11367,500,11480,
,,,,,9584,11030,,11369,1000,11482,
,,,0.2,,9578,11036,377,11364,20,11441,
,,,,,,11041,389,11374,50,11465,
,,,,,9588,11038,384,11367,100,11469,
,,,,,9583,11033,389,11369,500,11471,
,,,,,9585,11035,388,11368,1000,11488,
,,,0.3,,9609,11051,373,11366,20,11428,
,,,,,9582,11060,382,11375,50,11462,
,,,,,9576,11056,384,11368,100,11468,
,,,,,9587,11061,,11371,500,11500,
,,,,,9586,11059,383,11370,1000,11517,
,,,0.4,,9606,11110,367,11377,20,11469,
,,,,,9578,11108,371,,50,11474,
,,,,,,11105,374,11372,100,11475,
,,,,,9589,11104,375,11374,500,11486,
,,,,,,11100,376,11373,1000,11515,
,,,0.5,,9623,11142,356,11377,20,11446,
,,,,,9582,11163,365,11376,50,11468,
,,,,,9591,11155,361,11375,100,11482,
,,,,,9590,11151,365,,500,11511,
,,,,,9587,11148,367,,1000,11492,
,,,0.6,,9577,11197,358,11387,20,11454,
,,,,,9573,11205,356,11381,50,11470,
,,,,,9587,11197,355,11376,100,11474,
,,,,,9591,11200,356,11382,500,11480,
,,,,,9587,11198,358,11381,1000,11502,
,,,0.7,,9560,11226,348,11384,20,11510,
,,,,,9584,,350,11379,50,11465,
,,,,,9575,11224,354,11384,100,11526,
,,,,,9589,11226,351,11385,500,11514,
,,,,,9586,,353,11387,1000,11523,
,,,0.8,,9585,11239,342,11381,20,11483,
,,,,,9573,11254,347,11390,50,11481,
,,,,,9592,11244,346,11384,100,11475,
,,,,,9590,,349,11386,500,11497,
,,,,,9589,11242,,11385,1000,11502,
,,,0.9,,9586,11255,345,11386,20,11490,
,,,,,9583,11266,341,11393,50,11478,
,,,,,9577,11263,347,,100,11474,
,,,,,9587,11257,346,11388,500,11532,
,,,,,9588,11258,,11387,1000,11528,
,,,1,,9587,11255,332,11372,20,11466,
,,,,,9593,11268,340,11392,50,11504,
,,,,,9586,11266,342,11390,100,11473,
,,,,,9588,11267,345,11389,500,11494,
,,,,,9587,,,,1000,11519,
G22,2000,19990,0,12817,9985,12346,678,12806,20,12888,14123
,,,,,9996,12352,696,12820,50,12926,
,,,,,9979,12349,697,12815,100,12925,
,,,,,9995,12356,,12817,500,12943,
,,,,,9992,12355,698,,1000,12960,
,,,0.1,,10007,12411,671,12829,20,12929,
,,,,,9973,12378,693,12820,50,12923,
,,,,,9993,12382,689,12819,100,12938,
,,,,,9996,12381,692,12821,500,12962,
,,,,,9998,12384,,,1000,12972,
,,,0.2,,10003,12434,669,12822,20,12957,
,,,,,10014,12416,674,12825,50,12937,
,,,,,9998,12427,679,12822,100,12915,
,,,,,9996,12424,683,12826,500,12954,
,,,,,9997,12425,684,12827,1000,12966,
,,,0.3,,9987,12523,643,12839,20,12934,
,,,,,9996,12527,653,12829,50,12949,
,,,,,10005,12524,659,12840,100,12945,
,,,,,9998,12530,666,12842,500,12978,
,,,,,9997,12524,,12840,1000,12981,
,,,0.4,,9998,12595,636,12848,20,12937,
,,,,,10006,12602,645,12844,50,12980,
,,,,,9997,12616,646,12856,100,12971,
,,,,,9992,12608,650,12852,500,13040,
,,,,,9988,12610,,,1000,13007,
,,,0.5,,9989,12678,618,12854,20,12980,
,,,,,10007,12669,626,12857,50,13003,
,,,,,10000,12666,632,12862,100,12979,
,,,,,9991,12670,637,,500,13025,
,,,,,9996,12669,638,12863,1000,,
,,,0.6,,9998,12721,618,12865,20,13032,
,,,,,9996,12715,622,12868,50,12981,
,,,,,9990,12714,628,12871,100,13015,
,,,,,9992,12718,631,12872,500,13056,
,,,,,9996,12722,630,12873,1000,13049,
,,,0.7,,10020,12757,607,12871,20,13022,
,,,,,9987,12758,619,12876,50,13029,
,,,,,9980,12763,623,12881,100,13046,
,,,,,9996,12756,626,12880,500,13048,
,,,,,9995,12754,624,12878,1000,13060,
,,,0.8,,9980,12771,615,12879,20,12987,
,,,,,9999,12778,613,12877,50,13030,
,,,,,10002,12779,615,12880,100,13023,
,,,,,9993,,621,12885,500,13052,
,,,,,9996,12777,,12883,1000,13077,
,,,0.9,,10022,12797,594,12879,20,13024,
,,,,,10006,12795,612,12886,50,13011,
,,,,,9999,12800,616,12884,100,13023,
,,,,,9997,12796,618,12887,500,13071,
,,,,,9994,12793,619,12886,1000,13078,
,,,1,,10015,12798,598,,20,13007,
,,,,,10007,,610,,50,13051,
,,,,,9990,12791,615,12881,100,13041,
,,,,,9998,12798,617,12887,500,13060,
,,,,,9993,12794,619,12886,1000,13084,
G23,,,0,12807,10012,12360,672,12809,20,12908,14129
,,,,,9985,12357,685,12811,50,12921,
,,,,,9997,12350,691,,100,12934,
,,,,,9994,,692,12812,500,12948,
,,,,,9996,12356,,12815,1000,12965,
,,,0.1,,10007,12379,670,12819,20,12906,
,,,,,10005,12385,674,12812,50,12916,
,,,,,9994,12382,683,12816,100,12913,
